Colony,Treatment,Worker size,Oocyte number,,,Columns:
H5,Hexane,M,4,,,
H5,Hexane,M,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,38,,,
H5,Hexane,M,0,,,
H5,Hexane,M,39,,,
H5,Hexane,M,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,17,,,
H5,Hexane,M,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,0,,,
H5,Hexane,M,22,,,
H5,Hexane,S,23,,,
H5,Hexane,S,0,,,
H5,Hexane,S,0,,,
H5,Hexane,S,12,,,
H5,Hexane,S,0,,,
